code commune;code postale;Ville;;;;;;;departement;
2745;2250;Toulis-et-Attencourt;;49.6970260523;3.7505288343;745;19;2;2;
25631;25320;Vorges-les-Pins;;47.1527974661;5.9297764563;631;7;1;25;
16156;16170;Gourville;;45.8256659639;-0.0212286864;156;23;2;16;
55123;55000;Hauts-de-Chée;Les;48.8683371725;5.1652070878;123;23;1;55;
60206;60157;Élincourt-Sainte-Marguerite;;49.5317901702;2.8288583056;206;19;3;60;
71485;71390;Saint-Vallerin;;46.6847032271;4.6693378969;485;4;2;71;
30109;30360;Euzet;;44.0738028889;4.2356835244;109;38;1;30;
76049;76630;Avesnes-en-Val;;49.9178206413;1.4081137083;49;18;1;76;
76376;76630;Intraville;;49.9300208582;1.2746638222;376;18;1;76;
1194;1480;Jassans-Riottier;;45.9777239103;4.7598463787;194;34;2;1;
21553;21410;Saint-Jean-de-Boeuf;;47.2113480166;4.7637855225;553;35;2;21;
7010;7100;Annonay;;45.2460902392;4.6502694730;10;99;3;7;
9168;9300;Lieurac;;42.9850209725;1.7907800115;168;7;1;9;
35241;35780;Richardais;La;48.6095815819;-2.0436278058;241;10;4;35;
45340;45600;Villemurlin;;47.6816641134;2.3426367478;340;31;2;45;
38159;38690;Eydoche;;45.4427304269;5.3325197928;159;11;2;38;
24195;24540;Gaugeac;;44.6662613577;0.8790026631;195;20;1;24;
88275;88490;Lubine;;48.3176823306;7.1668886592;275;20;3;88;
41104;41350;Huisseau-sur-Cosson;;47.5946124012;1.4542724913;104;3;1;41;
16214;16270;Mazières;;45.8378171596;0.5563636632;214;26;3;16;
31247;31800;Labarthe-Rivière;;43.0809091883;0.6714299536;247;29;2;31;
27185;27110;Crestot;;49.2039621822;0.9695311611;185;24;3;27;
9004;9310;Albiès;;42.7544533927;1.6980081829;4;3;1;9;
31459;31380;Roquesérière;;43.7337247412;1.6377340229;459;19;3;31;
24080;24540;Capdrot;;44.6788316075;0.9451741411;80;20;1;24;
